bus0,bus1,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100 MVA),X (% on 100 MVA),B (% on 100 MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA)
DUDH1Q,GLAG1Q,0.0,1.95,Cable,0.0585,0.1151,2.73,124,114,114,114
DUDH1Q,MILC1R,0.0,4.8,Cable,0.255,0.442,5.304,131,113,113,113
DUDH1R,GLAG1R,0.0,1.95,Cable,0.0585,0.1151,2.73,124,114,114,114
DUDH1R,MILC1V,0.0,4.8,Cable,0.255,0.442,5.304,131,113,113,113
DUGR1Q,EDIN1-,9.0,0.0,OHL,1.206,1.997,0.468,99,92,79,92
DUNM1-,DUNM1C,6.0,0.0,OHL,0.3023,1.2424,0.336,241,230,210,230
DUNM1C,FARI1K,0.0,4.07,Cable,0.064,0.28,6.175,210,196,196,196
DUNO1Q,WHTB1S,18.1,0.0,OHL,2.5159,4.0363,0.887,99,92,79,92
DUNO1R,WHTB1T,18.1,0.0,OHL,2.5159,4.0363,0.887,99,92,79,92
DYCE1J,DYCE1Q,1.93,0.0,OHL,0.0978,0.4332,0.33,241,230,210,230
DYCE1Q,DYCE1T,0.0,1.3,Cable,0.0455,0.0543,2.428,150,143,143,143
DYCE1R,DYCE1U,0.0,1.3,Cable,0.0455,0.0543,2.428,150,143,143,143
DYCE1T,KINT1T,10.17,0.0,OHL,0.5187,2.2781,0.525,241,230,210,230
DYCE1U,KINT1U,10.17,0.0,OHL,0.6335,2.2972,0.519,145,131,116,131
ELGI1L,ELGI1Q,0.0,1.8,Cable,0.0236,0.1477,2.956,251,252,252,252
ELGI1L,NAIR1Q,33.9,0.0,OHL,1.7289,7.5936,1.763,241,230,210,230
ELGI1M,ELGI1R,0.0,1.8,Cable,0.0236,0.1477,2.956,251,252,252,252
ELGI1M,NAIR1R,33.9,0.0,OHL,1.7289,7.5936,1.763,241,230,210,230
ELGI1Q,KEIT1-,27.4,0.0,OHL,1.3974,6.1376,1.425,241,230,210,230
ELGI1R,KEIT1-,27.4,0.0,OHL,1.3974,6.1376,1.425,241,230,210,230
ERRO1A,ERRO1J,0.0,1.0,Cable,0.01,0.01,0.0,240,240,240,240
ERRO1A,TUMM1J,0.0,1.33,Cable,0.014,0.098,2.572,300,280,280,280
ERRO1B,ERRO1K,0.0,1.0,Cable,0.01,0.01,0.0,240,240,240,240
ERRO1B,TUMM1K,0.0,1.3,Cable,0.013,0.095,2.51,300,280,280,280
ERRO1J,ERRO1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
ERRO1J,ERRO1T,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
ERRO1J,TUMB1R,1.0,0.0,OHL,0.1,0.22,0.05,126,117,101,117
ERRO1J,WHIB1A,4.87,0.0,OHL,0.4973,1.1403,0.242,132,123,106,123
ERRO1K,TUMB1Q,1.0,0.0,OHL,0.1,0.22,0.05,126,117,101,117
ERRO1K,WHIB1B,4.87,0.0,OHL,0.4973,1.1403,0.242,132,123,106,123
ERRO1T,KIIN1-,36.9,0.0,OHL,3.75,8.58,1.82,132,123,106,123
FAAR1Q,TOMT1K,7.2,0.0,OHL,0.6544,1.6631,0.361,132,123,106,123
FAAR1R,TOMT1J,7.2,0.0,OHL,0.6544,1.6631,0.361,132,123,106,123
FARI2J,FOYE2-,8.4,0.0,OHL,0.0479,0.3363,2.358,935,880,790,880
FARI2J,KNOC2J,14.9,0.0,OHL,0.0851,0.5967,4.182,935,880,790,880
FARI2K,FOYE2-,8.4,0.0,OHL,0.0479,0.3363,2.358,935,880,790,880
FARI2K,KNOC2K,14.9,0.0,OHL,0.0851,0.5967,4.182,935,880,790,880
FASN2-,FAUG2J,24.384,1.016,Composite,0.069,1.029,7.259,1910,1830,1710,1830
FAUG1-,FAUG1M,0.0,0.29,Cable,0.01,0.0225,0.486,220,209,209,209
FAUG1-,FAUG1N,0.0,0.2,Cable,0.01,0.0157,0.339,220,209,209,209
FAUG1-,FAUG1P,0.0,0.59,Cable,0.01,0.0602,0.868,202,202,202,202
FAUG1-,FAUG1Q,0.0,1.0,Cable,0.01,0.012,0.002,126,117,101,117
FAUG1-,GLDO1G,0.0,6.0,Cable,0.21,0.47,5.91,127,127,127,127
FAUG1J,FAUG1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
FAUG1J,LAGG1Q,6.49,0.0,OHL,0.739,1.477,0.325,254,247,237,247
FAUG1K,LAGG1R,6.49,0.0,OHL,0.739,1.477,0.325,221,216,208,216
FAUG1M,LOCL1Q,8.5,0.0,OHL,0.969,1.9295,0.425,255,247,237,247
FAUG1N,LOCL1R,8.5,0.0,OHL,0.969,1.9295,0.425,255,247,237,247
FAUG1P,MILS1Q,0.0,5.41,Cable,0.2727,1.1208,0.303,203,193,176,193
FAUG2J,FAUG2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
FAUG2K,TUMM2J,77.2,0.0,OHL,0.211,3.128,22.063,1910,1830,1710,1830
FAUG4J,FAUG4K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
FAUG4J,MELG4J,24.01,0.0,OHL,0.0311,0.4597,14.517,2780,2670,2490,2670
FERO1-,FERO1S,5.1,0.0,OHL,0.7089,1.0659,0.265,99,92,79,92
FERO1S,INVE1J,15.21,0.0,OHL,2.157,3.571,0.744,99,92,79,92
FERO1S,TAYN1R,7.49,0.0,OHL,1.063,1.759,0.366,99,92,79,92
FETT2P,FETT2R,0.0,1.0,Cable,0.01,0.01,0.0,999,999,999,999
FETT2P,KINT2K,32.15,0.0,OHL,0.1624,1.4035,8.454,955,880,760,880
FETT2P,TEAL2K,83.55,0.0,OHL,0.4226,3.6513,21.994,955,880,760,880
FETT2Q,FETT2R,0.0,1.0,Cable,0.01,0.01,0.0,999,999,999,999
FETT2Q,KINB2J,137.33,0.0,OHL,0.6853,5.8914,35.895,955,885,760,885
FETT2Q,KINT2K,32.15,0.0,OHL,0.1624,1.4035,8.454,955,885,760,885
FIDD1B,FIDD1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
FIDD1Q,FIDD1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
FIDD1Q,FOGG1R,25.4,0.0,OHL,3.004,6.157,1.238,112,104,90,104
FINL1Q,KIIN1-,2.1,0.0,OHL,0.21,0.5,0.1,126,117,101,117
FOFO2-,TEAL2K,0.0,1.0,Cable,0.01,0.1,0.0,9999,9999,9999,9999
FOGG1Q,KINT1-,15.6,0.0,OHL,1.826,3.742,0.752,112,104,90,104
FOGG1Q,TARL1Q,34.6,0.0,OHL,3.12,7.98,1.7,132,123,106,123
FOGG1R,TARL1R,34.6,0.0,OHL,3.12,7.98,1.7,132,123,106,123
FOYE2-,FOYE2J,0.0,1.0,Cable,0.01,0.024,6.22,400,400,400,400
FRAS1Q,LUMB1Q,10.1,0.0,OHL,0.9,2.34,0.502,126,117,101,117
FRAS1R,LUMB1R,10.1,0.0,OHL,0.9,2.34,0.502,126,117,101,117
FWIL1Q,LOCL1Q,34.9,0.0,OHL,3.9786,7.9223,1.745,255,247,237,247
FWIL1R,LOCL1R,34.9,0.0,OHL,3.9786,7.9223,1.745,255,247,237,247
FWIL1R,LUND1-,9.3,0.0,OHL,0.849,2.16,0.463,136,129,118,129
FYRI1J,FYRI1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
FYRI2J,LOCB2K,35.93,0.0,OHL,0.2156,1.9762,7.617,702,665,599,665
FYRI2K,LOCB2J,35.93,0.0,OHL,0.2156,1.9762,7.617,702,665,599,665
GARB1Q,SLOY1K,14.899999999999999,0.0,OHL,1.45,3.31,0.7,132,123,106,123
GARB1R,SLOY1J,14.9,0.0,OHL,1.44,3.3,0.7,132,123,106,123
GARB1S,SLOY1J,14.899999999999999,0.0,OHL,1.45,3.31,0.7,132,123,106,123
GARB1T,SLOY1K,14.9,0.0,OHL,1.44,3.3,0.7,132,123,106,123
GLEN1Q,LAGG1Q,4.8,0.0,OHL,0.546,1.132,0.232,254,247,237,247
GLFA1-,KEIT1-,29.6,0.0,OHL,3.0087,6.8969,1.466,126,117,101,117
GLKO1-,TOMT1K,0.0,3.0,Cable,0.417,0.627,0.156,99,92,79,92
GLRB2-,TEAL2K,38.8,0.0,OHL,0.19,1.67,10.2,955,885,760,885
GORW2-,STRB2-,10.3,0.0,OHL,0.0618,0.5665,2.184,702,665,599,665
GRIF1S,WHIB1H,14.17,0.0,OHL,1.4476,3.3191,0.704,132,123,106,123
GRIF1T,WHIB1G,14.17,0.0,OHL,1.4476,3.3191,0.704,132,123,106,123
GRUB1Q,MOSS1S,2.73,0.0,OHL,0.1392,0.6115,0.142,224,211,189,211
GRUB1R,MOSS1T,2.73,0.0,OHL,0.1392,0.6115,0.142,224,211,189,211
INGA1Q,LOCL1Q,2.4,0.0,OHL,0.25,0.58,0.12,126,117,101,117
INNE1J,INNE1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
INNE1J,KNOC1J,0.0,4.57,Cable,0.1051,0.3818,6.326,158,150,150,150
INNE1K,INNE1L,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
INNE1L,KNOC1J,0.0,4.48,Cable,0.1042,0.3784,6.27,158,150,150,150
INNE1Q,SLKB1J,1.97,0.0,OHL,0.1005,0.4413,0.102,241,230,210,230
INNE1R,SLKB1K,1.97,0.0,OHL,0.1005,0.4413,0.102,241,230,210,230
INRU1Q,PEHE1-,6.8,0.0,OHL,0.69,1.57,0.33,150,142,128,142
INRU1Q,PEHG1Q,1.8,0.0,OHL,0.0918,0.4032,0.094,241,230,210,230
INRU1Q,SFER1L,6.1,0.0,OHL,0.3111,1.3664,0.317,241,230,210,230
INRU1R,PEHE1-,6.8,0.0,OHL,0.69,1.57,0.33,126,117,101,117
INRU1R,PEHG1R,1.8,0.0,OHL,0.0918,0.4032,0.094,241,230,210,230
INRU1R,SFER1M,6.1,0.0,OHL,0.3111,1.3664,0.317,241,230,210,230
INRU1S,PEHE1-,0.0,3.0,Cable,0.0687,0.2536,4.105,186,186,186,186
INRU1S,SFER1J,11.3,0.0,OHL,0.6,2.379,0.617,195,181,157,181
INVE1J,INVE1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
INVE1K,KILC1Q,15.1,0.0,OHL,2.15,3.55,0.74,99,92,79,92
INVE1K,SLOY1E,21.4,0.0,OHL,2.1684,4.9712,1.051,126,117,101,117
INVR1-,INVR1A,6.18,0.0,OHL,0.6294,1.4386,0.305,132,126,106,126
INVR1-,INVR1B,6.18,0.0,OHL,0.6294,1.4386,0.305,132,126,106,126
INVR1-,SLOY1K,11.22,0.0,OHL,1.14,2.614,0.55,132,126,106,126
INVR1-,SLOY1T,5.82,0.0,OHL,0.59,1.356,0.285,132,126,106,126
INVR1A,INVR1C,0.0,4.4,Cable,0.1393,0.4267,5.615,130,130,130,130
INVR1B,INVR1D,0.0,4.4,Cable,0.1396,0.4277,5.627,130,130,130,130
INVR1C,KIIN1-,23.0,0.0,OHL,2.3423,5.3538,1.134,132,126,106,126
INVR1D,KIIN1-,23.0,0.0,OHL,2.3423,5.3538,1.134,132,126,106,126
KEIT1J,MACD1Q,37.8,0.0,OHL,3.84,8.8,1.87,132,123,106,123
KEIT1K,MACD1R,37.77,0.0,OHL,3.84,8.8,1.87,132,123,106,123
KEIT3-,KEIT3A,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
KIIN1-,LOCH1-,2.4,0.0,OHL,0.25,0.58,0.12,126,117,101,117
KIIN1-,SFIL1Q,21.6,0.0,OHL,2.19,5.2,1.03,111,103,89,103
KILC1Q,NANT1Q,4.2,0.0,OHL,0.59,1.03,0.19,99,92,79,92
KILC1Q,TAYN1Q,7.6000000000000005,0.0,OHL,1.07,1.78,0.37,99,92,79,92
KILO1-,LUND1-,15.2,0.0,OHL,1.054,3.441,0.775,126,117,101,117
KINB2K,TEAL2J,86.18,0.0,OHL,0.4329,3.735,23.0,955,880,760,880
KINT1-,KINT1B,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
